"iso3","region","lon","lat","ols_residual","ols_deviation","gls_residual","gls_deviation","flipped"
"PAN","Americas",-80.4337463001695,8.39374561574905,0.0408524011982904,"Larger than predicted",0.10418380394546,"Larger than predicted",FALSE
"PER","Americas",-73.975376627846,-7.44572269955114,-0.771788007698439,"Smaller than predicted",-0.773167312372589,"Smaller than predicted",FALSE
"PRY","Americas",-57.5828761089637,-23.7377891985823,0.0893600115867842,"Larger than predicted",0.100101084408932,"Larger than predicted",FALSE
"SLV","Americas",-88.8160292135703,13.850656393412,-0.163507472320475,"Smaller than predicted",-0.115379443225738,"Smaller than predicted",FALSE
"SUR","Americas",-56.0711611872134,3.72543920770935,0.41667366515135,"Larger than predicted",0.381614248393255,"Larger than predicted",FALSE
"TTO","Americas",-61.3245666503906,10.4578532854716,0.275906702666877,"Larger than predicted",0.28236589002881,"Larger than predicted",FALSE
"URY","Americas",-56.0183739828897,-32.2972610446957,-0.0986608767925227,"Smaller than predicted",-0.0503348722515629,"Smaller than predicted",FALSE
"USA","Americas",-113.777736475322,45.3158715102978,1.6992184030005,"Larger than predicted",1.87576850721178,"Larger than predicted",FALSE
"VCT","Americas",-61.1902400970459,13.2498044013977,0.159037663748106,"Larger than predicted",0.142185014052638,"Larger than predicted",FALSE
"VEN","Americas",-63.4512107070321,9.44009023406709,-0.0711825514099522,"Smaller than predicted",-0.111772783217894,"Smaller than predicted",FALSE
"AFG","Eastern Mediterranean",67.5845043554538,34.9409846933876,0.426293271724093,"Larger than predicted",0.571391078002268,"Larger than predicted",FALSE
"ARE","Eastern Mediterranean",54.1530557675155,24.4519909171173,0.604027443164435,"Larger than predicted",0.6180794459104,"Larger than predicted",FALSE
"BHR","Eastern Mediterranean",50.5497066791241,26.0509618612436,0.388448991446665,"Larger than predicted",0.367786296063318,"Larger than predicted",FALSE
"DJI","Eastern Mediterranean",42.6347707339696,11.7522957835879,-0.298021267428371,"Smaller than predicted",-0.38976764438542,"Smaller than predicted",FALSE
"EGY","Eastern Mediterranean",30.7931735977354,27.6763009761162,-0.193853033302786,"Smaller than predicted",-0.238321677528534,"Smaller than predicted",FALSE
"IRN","Eastern Mediterranean",54.4007402375999,30.169937426375,0.898482980224743,"Larger than predicted",0.887160886702922,"Larger than predicted",FALSE
"IRQ","Eastern Mediterranean",44.5886123067831,33.7899801720877,1.11097823041264,"Larger than predicted",1.0865865868568,"Larger than predicted",FALSE
"JOR","Eastern Mediterranean",36.7469280560811,31.329313715299,0.447748524610108,"Larger than predicted",0.482073170102648,"Larger than predicted",FALSE
"KWT","Eastern Mediterranean",47.9486531813939,29.5610270032696,0.633576242075708,"Larger than predicted",0.652008066913206,"Larger than predicted",FALSE
"LBN","Eastern Mediterranean",35.9691547886018,33.8413247754497,1.3709783063261,"Larger than predicted",1.35113290940298,"Larger than predicted",FALSE
"LBY","Eastern Mediterranean",17.6940128274465,28.1859954878514,0.621248054084965,"Larger than predicted",0.613700198279322,"Larger than predicted",FALSE
"MAR","Eastern Mediterranean",-9.02832483305879,28.4856708568076,0.741015767626191,"Larger than predicted",0.727169980575471,"Larger than predicted",FALSE
"OMN","Eastern Mediterranean",56.7775612258911,23.1819176745415,-0.171945770927672,"Smaller than predicted",-0.202430804579565,"Smaller than predicted",FALSE
"PAK","Eastern Mediterranean",69.8040459427441,30.175477246687,0.739848640915514,"Larger than predicted",0.655711099943433,"Larger than predicted",FALSE
"PSE","Eastern Mediterranean",34.7718689918518,31.6446125268936,0.618164483787767,"Larger than predicted",0.68034015727585,"Larger than predicted",FALSE
"QAT","Eastern Mediterranean",51.1933564578786,25.1993050855749,0.454655309954924,"Larger than predicted",0.425702257902033,"Larger than predicted",FALSE
"SAU","Eastern Mediterranean",40.2069878299711,22.8746721764592,0.619511974205093,"Larger than predicted",0.632620380498649,"Larger than predicted",FALSE
"SDN","Eastern Mediterranean",30.1360399899067,13.9933258991113,0.433813722071941,"Larger than predicted",0.357758199589776,"Larger than predicted",FALSE
"SOM","Eastern Mediterranean",46.0446531642398,8.00216714142922,0.0825648458664784,"Larger than predicted",-0.0687783258064263,"Smaller than predicted",TRUE
"SYR","Eastern Mediterranean",38.0793456806856,35.1244250353645,0.760820847766178,"Larger than predicted",0.718080279415467,"Larger than predicted",FALSE
"TUN","Eastern Mediterranean",10.6278862076576,34.2556362730084,0.621855008531262,"Larger than predicted",0.642736666176351,"Larger than predicted",FALSE
"YEM","Eastern Mediterranean",45.8006452345569,14.3392872155256,0.63298779988547,"Larger than predicted",0.640121071308416,"Larger than predicted",FALSE
"ALB","Europe",20.1092513768019,41.0970841804437,-0.53155618166358,"Smaller than predicted",-0.498191090974801,"Smaller than predicted",FALSE
