"iso3","region","residual","lon","lat"
"GRC","Europe",0.215507982674559,24.6771728461642,37.7579125808062
"HRV","Europe",-0.28809078095116,15.9026488039015,43.949631843945
"HUN","Europe",-0.361406730290923,19.4239312822574,47.2322648663387
"IRL","Europe",0.589159857865714,-9.21717440495726,53.718868024232
"ISL","Europe",-0.129465074845254,-19.8672900189364,65.3084188128676
"ISR","Europe",-0.118599377996437,35.2103470211937,31.8765000479562
"ITA","Europe",0.379419416323127,10.9994264271948,40.2606614499558
"KAZ","Europe",-0.369768678758513,54.807835971463,45.8463886822009
"KGZ","Europe",-0.703471440933394,71.7000166078018,40.2071915343622
"LTU","Europe",0.0074157232158227,22.6621123149477,55.245916353423
"LUX","Europe",0.394375889333709,6.06234932982403,49.7626318724259
"LVA","Europe",-0.399358691081191,25.3694844927107,56.8674788066319
"MDA","Europe",-0.829662349397507,28.5453013861739,47.0632795295459
"MKD","Europe",-0.471088459214542,21.6497263496305,41.636208663752
"MLT","Europe",-0.106345274569504,14.3708497285843,35.9616270065308
"MNE","Europe",-0.576657575490688,19.2575248013372,42.8171734602555
"NLD","Europe",-0.0257147824467619,5.14132065172983,52.664828735704
"NOR","Europe",0.337031084875656,16.789200923135,70.65026269797
"POL","Europe",-0.144617420798419,19.0865157193775,51.4099779370465
"PRT","Europe",0.465375114523058,-7.88703512632719,39.9308394770468
"ROU","Europe",-0.696602527561907,24.5292120675971,45.8446484725841
"RUS","Europe",-0.132535480221569,100.525870235521,69.7238230642151
"SRB","Europe",-0.833575561120511,20.7511689761158,44.2524472068758
"SVK","Europe",-0.383443667449158,19.6205913280619,48.8381906706711
"SVN","Europe",0.0746486292892119,14.8436923532775,46.12320394227
"SWE","Europe",0.116460885149064,18.1685075301851,58.9003501920989
"TJK","Europe",-0.835538725101543,70.6540391190434,39.8991661207191
"TKM","Europe",-0.690663933144771,55.7616462034338,39.2292356305964
"TUR","Europe",0.157263750348959,29.5500818236735,40.0245707649396
"UKR","Europe",-0.0581600200848938,31.4982658720302,47.3791976317674
"UZB","Europe",-0.718039521184039,69.7928339123711,40.5482722395192
"BGD","South-East Asia",0.605124613588767,91.148772507588,22.4859679023009
"BTN","South-East Asia",0.212349733650601,90.5843077087402,27.4026597976685
"IND","South-East Asia",0.573262590168106,89.4575194762274,10.8427009212228
"LKA","South-East Asia",0.248028070607685,80.1269441879217,9.00263045784226
"MDV","South-East Asia",-1.4338769309298,73.4582096654126,3.72717100025242
"MMR","South-East Asia",-0.693187330118148,96.7726147099679,14.4865384457947
"NPL","South-East Asia",0.709033594348534,84.3221619483268,28.0968792887017
"THA","South-East Asia",-0.410830762206795,99.975125071359,9.59219421802824
"TLS","South-East Asia",-0.314213607814396,125.223434749352,-8.80744002319689
"AUS","Western Pacific",1.03402878609477,140.863467276482,-24.5389488019316
"BRN","Western Pacific",-0.224363056112531,114.896935462952,4.5656396150589
"CHN","Western Pacific",-1.28541298364982,115.792014038439,25.3719118963031
"FJI","Western Pacific",-0.68837497253588,39.4383553631291,-17.8449626891474
"FSM","Western Pacific",-0.980795892351078,152.565611987229,7.30236058687182
"IDN","Western Pacific",-1.16503794698476,119.238694591472,-2.97410731201477
"JPN","Western Pacific",-0.693261702703933,132.62470363813,33.1610525849145
"KHM","Western Pacific",-0.707828063415392,103.845188104189,11.5798477927844
"KIR","Western Pacific",-0.795782708478726,-4.3946081205391,-1.34618153521699
"KOR","Western Pacific",-0.107794717144439,127.366555946659,35.3671021335631
"LAO","Western Pacific",-0.881855739328178,103.795938345102,18.4368892791944
"MNG","Western Pacific",-0.447792424061512,102.917947292328,47.7782551672148
"MYS","Western Pacific",-0.648107441595468,107.625389284152,4.39236636146541
"NZL","Western Pacific",0.95003279504519,64.277622643687,-38.8813859225371
"PHL","Western Pacific",-0.943935356333077,122.558921766077,11.6903949556652
"PNG","Western Pacific",-0.241013008844024,150.205917406503,-6.23297109073128
"SGP","Western Pacific",-1.08707217087775,103.866559346517,1.36641702387068
"SLB","Western Pacific",-0.849689990619405,159.40849315768,-8.97101004415328
"TON","Western Pacific",-0.701566794574444,-174.709537718031,-20.3761267370648
"VNM","Western Pacific",-1.23031612461955,106.587385501864,16.2228763185006
"VUT","Western Pacific",-0.835958283446914,168.129635815351,-16.4777712334988
"WSM","Western Pacific",-0.556177679673475,-172.08504989121,-13.7866715284494
